#doc,name,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion
2471,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_4789.txt,0,0.1058201058,4,0.0899470899,25,0.0423280423,18,0.0423280423,16,0.0423280423,11,0.0423280423,29,0.0264550265,28,0.0264550265,27,0.0264550265,26,0.0264550265,24,0.0264550265,23,0.0264550265,22,0.0264550265,21,0.0264550265,20,0.0264550265,19,0.0264550265,17,0.0264550265,15,0.0264550265,14,0.0264550265,13,0.0264550265,12,0.0264550265,10,0.0264550265,9,0.0264550265,8,0.0264550265,7,0.0264550265,6,0.0264550265,5,0.0264550265,3,0.0264550265,2,0.0264550265,1,0.0264550265
5032,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_4407.txt,0,0.1058201058,9,0.0582010582,29,0.0423280423,21,0.0423280423,19,0.0423280423,18,0.0423280423,16,0.0423280423,12,0.0423280423,28,0.0264550265,27,0.0264550265,26,0.0264550265,25,0.0264550265,24,0.0264550265,23,0.0264550265,22,0.0264550265,20,0.0264550265,17,0.0264550265,15,0.0264550265,14,0.0264550265,13,0.0264550265,11,0.0264550265,10,0.0264550265,8,0.0264550265,7,0.0264550265,6,0.0264550265,5,0.0264550265,4,0.0264550265,3,0.0264550265,2,0.0264550265,1,0.0264550265
237,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6261.txt,0,0.1041666667,18,0.0729166667,4,0.0572916667,29,0.0416666667,27,0.0416666667,23,0.0416666667,14,0.0416666667,28,0.0260416667,26,0.0260416667,25,0.0260416667,24,0.0260416667,22,0.0260416667,21,0.0260416667,20,0.0260416667,19,0.0260416667,17,0.0260416667,16,0.0260416667,15,0.0260416667,13,0.0260416667,12,0.0260416667,11,0.0260416667,10,0.0260416667,9,0.0260416667,8,0.0260416667,7,0.0260416667,6,0.0260416667,5,0.0260416667,3,0.0260416667,2,0.0260416667,1,0.0260416667
872,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_3797.txt,0,0.1041666667,20,0.0572916667,2,0.0572916667,24,0.0416666667,21,0.0416666667,18,0.0416666667,7,0.0416666667,1,0.0416666667,29,0.0260416667,28,0.0260416667,27,0.0260416667,26,0.0260416667,25,0.0260416667,23,0.0260416667,22,0.0260416667,19,0.0260416667,17,0.0260416667,16,0.0260416667,15,0.0260416667,14,0.0260416667,13,0.0260416667,12,0.0260416667,11,0.0260416667,10,0.0260416667,9,0.0260416667,8,0.0260416667,6,0.0260416667,5,0.0260416667,4,0.0260416667,3,0.0260416667
5053,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_2999.txt,0,0.1041666667,29,0.0572916667,4,0.0572916667,25,0.0416666667,20,0.0416666667,15,0.0416666667,12,0.0416666667,7,0.0416666667,28,0.0260416667,27,0.0260416667,26,0.0260416667,24,0.0260416667,23,0.0260416667,22,0.0260416667,21,0.0260416667,19,0.0260416667,18,0.0260416667,17,0.0260416667,16,0.0260416667,14,0.0260416667,13,0.0260416667,11,0.0260416667,10,0.0260416667,9,0.0260416667,8,0.0260416667,6,0.0260416667,5,0.0260416667,3,0.0260416667,2,0.0260416667,1,0.0260416667
6378,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_5163.txt,0,0.1041666667,4,0.0729166667,12,0.0572916667,24,0.0416666667,21,0.0416666667,20,0.0416666667,15,0.0416666667,29,0.0260416667,28,0.0260416667,27,0.0260416667,26,0.0260416667,25,0.0260416667,23,0.0260416667,22,0.0260416667,19,0.0260416667,18,0.0260416667,17,0.0260416667,16,0.0260416667,14,0.0260416667,13,0.0260416667,11,0.0260416667,10,0.0260416667,9,0.0260416667,8,0.0260416667,7,0.0260416667,6,0.0260416667,5,0.0260416667,3,0.0260416667,2,0.0260416667,1,0.0260416667
6610,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_4807.txt,0,0.1041666667,16,0.0885416667,28,0.0416666667,25,0.0416666667,15,0.0416666667,12,0.0416666667,4,0.0416666667,29,0.0260416667,27,0.0260416667,26,0.0260416667,24,0.0260416667,23,0.0260416667,22,0.0260416667,21,0.0260416667,20,0.0260416667,19,0.0260416667,18,0.0260416667,17,0.0260416667,14,0.0260416667,13,0.0260416667,11,0.0260416667,10,0.0260416667,9,0.0260416667,8,0.0260416667,7,0.0260416667,6,0.0260416667,5,0.0260416667,3,0.0260416667,2,0.0260416667,1,0.0260416667
2169,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6368.txt,0,0.101010101,18,0.0858585859,11,0.0707070707,23,0.0404040404,20,0.0404040404,12,0.0404040404,4,0.0404040404,29,0.0252525253,28,0.0252525253,27,0.0252525253,26,0.0252525253,25,0.0252525253,24,0.0252525253,22,0.0252525253,21,0.0252525253,19,0.0252525253,17,0.0252525253,16,0.0252525253,15,0.0252525253,14,0.0252525253,13,0.0252525253,10,0.0252525253,9,0.0252525253,8,0.0252525253,7,0.0252525253,6,0.0252525253,5,0.0252525253,3,0.0252525253,2,0.0252525253,1,0.0252525253
6175,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_593.txt,0,0.101010101,29,0.0858585859,20,0.0555555556,19,0.0404040404,18,0.0404040404,16,0.0404040404,15,0.0404040404,4,0.0404040404,28,0.0252525253,27,0.0252525253,26,0.0252525253,25,0.0252525253,24,0.0252525253,23,0.0252525253,22,0.0252525253,21,0.0252525253,17,0.0252525253,14,0.0252525253,13,0.0252525253,12,0.0252525253,11,0.0252525253,10,0.0252525253,9,0.0252525253,8,0.0252525253,7,0.0252525253,6,0.0252525253,5,0.0252525253,3,0.0252525253,2,0.0252525253,1,0.0252525253
926,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_5577.txt,0,0.0977011494,29,0.0459770115,25,0.0459770115,22,0.0459770115,17,0.0459770115,28,0.0287356322,27,0.0287356322,26,0.0287356322,24,0.0287356322,23,0.0287356322,21,0.0287356322,20,0.0287356322,19,0.0287356322,18,0.0287356322,16,0.0287356322,15,0.0287356322,14,0.0287356322,13,0.0287356322,12,0.0287356322,11,0.0287356322,10,0.0287356322,9,0.0287356322,8,0.0287356322,7,0.0287356322,6,0.0287356322,5,0.0287356322,4,0.0287356322,3,0.0287356322,2,0.0287356322,1,0.0287356322
1128,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_4664.txt,0,0.0977011494,22,0.0459770115,21,0.0459770115,18,0.0459770115,14,0.0459770115,29,0.0287356322,28,0.0287356322,27,0.0287356322,26,0.0287356322,25,0.0287356322,24,0.0287356322,23,0.0287356322,20,0.0287356322,19,0.0287356322,17,0.0287356322,16,0.0287356322,15,0.0287356322,13,0.0287356322,12,0.0287356322,11,0.0287356322,10,0.0287356322,9,0.0287356322,8,0.0287356322,7,0.0287356322,6,0.0287356322,5,0.0287356322,4,0.0287356322,3,0.0287356322,2,0.0287356322,1,0.0287356322
3215,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_1584.txt,0,0.0977011494,23,0.0459770115,18,0.0459770115,11,0.0459770115,6,0.0459770115,29,0.0287356322,28,0.0287356322,27,0.0287356322,26,0.0287356322,25,0.0287356322,24,0.0287356322,22,0.0287356322,21,0.0287356322,20,0.0287356322,19,0.0287356322,17,0.0287356322,16,0.0287356322,15,0.0287356322,14,0.0287356322,13,0.0287356322,12,0.0287356322,10,0.0287356322,9,0.0287356322,8,0.0287356322,7,0.0287356322,5,0.0287356322,4,0.0287356322,3,0.0287356322,2,0.0287356322,1,0.0287356322
